Model,Cases,Mean_Time_s,Std_Time_s,Mean_FPS,Mean_Dice,Std_Dice,Std_HD95_mm,Device,Model_Size_MB,Speed_Improvement,Size_Reduction
ORIGINAL,6,103.6763740626667,29.85702722856029,0.010292845593647985,0.7547322920389724,0.03179671771870153,,cpu,354,1.0,1.0
FP16,6,101.20739859716666,28.31820261145718,0.010446347945950452,0.7547375766849478,0.031800605518731,,cpu,177,1.0243952072647105,2.0
INT8,6,104.43557279866661,32.694280047575226,0.010180598963306918,0.017835891132333182,0.009491044655431031,,cpu,102,0.9927304584476832,3.4705882352941178
